Model,WithOdds_ACC,WithOdds_AUC,NoOdds_ACC,NoOdds_AUC
LogisticRegression,0.6821491832316473,0.7498182348981558,0.6518401889391852,0.7185771062128026
RandomForest,0.654398740405432,0.7307095781066182,0.6431804762841961,0.701232717594366
XGBoost,0.6534146821491832,0.7172647714749347,0.6317654005117103,0.6875578766117125
