ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best_of,player1,player2,Rank_1,Rank_2,Odds_1,Odds_2,player1_won
1,Brisbane,Brisbane International,2015-01-05,ATP250,Outdoor,Hard,1st Round,3.0,Simon G.,Duckworth J.,21.0,125.0,1.2,4.31,0
3,Doha,Qatar Exxon Mobil Open,2015-01-05,ATP250,Outdoor,Hard,1st Round,3.0,Andujar P.,Gasquet R.,41.0,26.0,4.15,1.21,0
3,Doha,Qatar Exxon Mobil Open,2015-01-05,ATP250,Outdoor,Hard,1st Round,3.0,Lorenzi P.,Brown D.,63.0,98.0,2.4,1.54,0
3,Doha,Qatar Exxon Mobil Open,2015-01-05,ATP250,Outdoor,Hard,1st Round,3.0,Gabashvili T.,Verdasco F.,66.0,33.0,2.81,1.41,0
3,Doha,Qatar Exxon Mobil Open,2015-01-05,ATP250,Outdoor,Hard,1st Round,3.0,Rosol L.,Karlovic I.,30.0,27.0,2.54,1.49,0
2,Chennai,Chennai Open,2015-01-05,ATP250,Outdoor,Hard,1st Round,3.0,Haase R.,Coric B.,80.0,95.0,2.07,1.72,0
2,Chennai,Chennai Open,2015-01-05,ATP250,Outdoor,Hard,1st Round,3.0,Muller G.,Roger-Vasselin E.,46.0,116.0,1.73,2.05,1
3,Doha,Qatar Exxon Mobil Open,2015-01-05,ATP250,Outdoor,Hard,1st Round,3.0,Dodig I.,Safwat M.,89.0,289.0,1.16,5.05,1
1,Brisbane,Brisbane International,2015-01-05,ATP250,Outdoor,Hard,1st Round,3.0,Benneteau J.,Kokkinakis T.,25.0,149.0,1.47,2.62,0
3,Doha,Qatar Exxon Mobil Open,2015-01-05,ATP250,Outdoor,Hard,1st Round,3.0,Bolelli S.,Becker B.,52.0,40.0,2.15,1.67,1
1,Brisbane,Brisbane International,2015-01-05,ATP250,Outdoor,Hard,1st Round,3.0,Chardy J.,Golubev A.,31.0,72.0,1.32,3.3,1
1,Brisbane,Brisbane International,2015-01-05,ATP250,Outdoor,Hard,1st Round,3.0,Tomic B.,Querrey S.,53.0,35.0,1.61,2.25,1
1,Brisbane,Brisbane International,2015-01-06,ATP250,Outdoor,Hard,1st Round,3.0,Hewitt L.,Groth S.,84.0,85.0,1.4,2.83,0
2,Chennai,Chennai Open,2015-01-06,ATP250,Outdoor,Hard,1st Round,3.0,Berankis R.,Vanni L.,83.0,148.0,1.31,3.32,1
2,Chennai,Chennai Open,2015-01-06,ATP250,Outdoor,Hard,1st Round,3.0,Prashanth V.,Vesely J.,557.0,65.0,5.07,1.15,0
2,Chennai,Chennai Open,2015-01-06,ATP250,Outdoor,Hard,1st Round,3.0,Bedene A.,Lacko L.,156.0,88.0,1.95,1.81,1
2,Chennai,Chennai Open,2015-01-06,ATP250,Outdoor,Hard,1st Round,3.0,Ito T.,Ramanathan R.,87.0,285.0,1.37,2.98,1
2,Chennai,Chennai Open,2015-01-06,ATP250,Outdoor,Hard,1st Round,3.0,Donskoy E.,Garcia-Lopez G.,129.0,36.0,1.84,1.92,0
2,Chennai,Chennai Open,2015-01-06,ATP250,Outdoor,Hard,1st Round,3.0,Carreno-Busta P.,Gonzalez A.,49.0,109.0,1.52,2.48,1
2,Chennai,Chennai Open,2015-01-06,ATP250,Outdoor,Hard,1st Round,3.0,Lu Y.H.,Devvarman S.,38.0,136.0,1.35,3.1,1
2,Chennai,Chennai Open,2015-01-06,ATP250,Outdoor,Hard,1st Round,3.0,Gojowczyk P.,Falla A.,102.0,113.0,1.51,2.49,1
3,Doha,Qatar Exxon Mobil Open,2015-01-06,ATP250,Outdoor,Hard,1st Round,3.0,Mayer L.,Seppi A.,28.0,45.0,1.81,1.95,0
3,Doha,Qatar Exxon Mobil Open,2015-01-06,ATP250,Outdoor,Hard,1st Round,3.0,Berdych T.,Istomin D.,7.0,48.0,1.18,4.59,1
1,Brisbane,Brisbane International,2015-01-06,ATP250,Outdoor,Hard,1st Round,3.0,Kubot L.,Anderson K.,177.0,16.0,3.58,1.28,1
1,Brisbane,Brisbane International,2015-01-06,ATP250,Outdoor,Hard,1st Round,3.0,Kukushkin M.,Copil M.,69.0,201.0,1.5,2.53,1
2,Chennai,Chennai Open,2015-01-06,ATP250,Outdoor,Hard,1st Round,3.0,Ymer E.,Sijsling I.,227.0,81.0,3.1,1.35,1
1,Brisbane,Brisbane International,2015-01-06,ATP250,Outdoor,Hard,1st Round,3.0,Dolgopolov O.,Berlocq C.,23.0,71.0,1.27,3.61,1
1,Brisbane,Brisbane International,2015-01-06,ATP250,Outdoor,Hard,1st Round,3.0,Johnson S.,Matosevic M.,37.0,77.0,2.03,1.74,1
3,Doha,Qatar Exxon Mobil Open,2015-01-06,ATP250,Outdoor,Hard,1st Round,3.0,Monaco J.,Kavcic B.,61.0,99.0,1.96,1.8,0
1,Brisbane,Brisbane International,2015-01-06,ATP250,Outdoor,Hard,1st Round,3.0,Williams R.,Millman J.,220.0,153.0,2.7,1.44,0
1,Brisbane,Brisbane International,2015-01-06,ATP250,Outdoor,Hard,1st Round,3.0,Kudla D.,Nieminen J.,123.0,73.0,2.19,1.65,0
3,Doha,Qatar Exxon Mobil Open,2015-01-06,ATP250,Outdoor,Hard,1st Round,3.0,De Bakker T.,Ferrer D.,141.0,10.0,6.24,1.11,0
3,Doha,Qatar Exxon Mobil Open,2015-01-06,ATP250,Outdoor,Hard,1st Round,3.0,Souza J.,Jaziri M.,117.0,74.0,2.31,1.58,1
3,Doha,Qatar Exxon Mobil Open,2015-01-06,ATP250,Outdoor,Hard,1st Round,3.0,Kohlschreiber P.,Struff J.L.,24.0,58.0,1.35,3.09,0
1,Brisbane,Brisbane International,2015-01-06,ATP250,Outdoor,Hard,1st Round,3.0,Klizan M.,Melzer J.,34.0,110.0,1.66,2.16,1
3,Doha,Qatar Exxon Mobil Open,2015-01-06,ATP250,Outdoor,Hard,1st Round,3.0,Lajovic D.,Djokovic N.,68.0,1.0,12.06,1.03,0
3,Doha,Qatar Exxon Mobil Open,2015-01-06,ATP250,Outdoor,Hard,1st Round,3.0,Basilashvili N.,Youzhny M.,171.0,47.0,3.23,1.33,1
3,Doha,Qatar Exxon Mobil Open,2015-01-06,ATP250,Outdoor,Hard,1st Round,3.0,Nadal R.,Berrer M.,3.0,127.0,1.05,9.23,0
3,Doha,Qatar Exxon Mobil Open,2015-01-07,ATP250,Outdoor,Hard,2nd Round,3.0,Basilashvili N.,Karlovic I.,171.0,27.0,3.3,1.31,0
3,Doha,Qatar Exxon Mobil Open,2015-01-07,ATP250,Outdoor,Hard,2nd Round,3.0,Seppi A.,Souza J.,45.0,117.0,1.26,3.7,1
3,Doha,Qatar Exxon Mobil Open,2015-01-07,ATP250,Outdoor,Hard,2nd Round,3.0,Ferrer D.,Verdasco F.,10.0,33.0,1.26,3.68,1
3,Doha,Qatar Exxon Mobil Open,2015-01-07,ATP250,Outdoor,Hard,2nd Round,3.0,Stakhovsky S.,Djokovic N.,57.0,1.0,13.76,1.02,0
3,Doha,Qatar Exxon Mobil Open,2015-01-07,ATP250,Outdoor,Hard,2nd Round,3.0,Dodig I.,Berrer M.,89.0,127.0,1.39,2.88,1
3,Doha,Qatar Exxon Mobil Open,2015-01-07,ATP250,Outdoor,Hard,2nd Round,3.0,Berdych T.,Kavcic B.,7.0,99.0,1.11,6.32,1
3,Doha,Qatar Exxon Mobil Open,2015-01-07,ATP250,Outdoor,Hard,2nd Round,3.0,Brown D.,Struff J.L.,98.0,58.0,2.23,1.63,1
3,Doha,Qatar Exxon Mobil Open,2015-01-07,ATP250,Outdoor,Hard,2nd Round,3.0,Bolelli S.,Gasquet R.,52.0,26.0,3.66,1.27,0
1,Brisbane,Brisbane International,2015-01-07,ATP250,Outdoor,Hard,2nd Round,3.0,Johnson S.,Nishikori K.,37.0,5.0,5.7,1.13,0
1,Brisbane,Brisbane International,2015-01-07,ATP250,Outdoor,Hard,2nd Round,3.0,Chardy J.,Dimitrov G.,31.0,11.0,3.18,1.33,0
1,Brisbane,Brisbane International,2015-01-07,ATP250,Outdoor,Hard,2nd Round,3.0,Kokkinakis T.,Tomic B.,149.0,53.0,2.83,1.4,0
2,Chennai,Chennai Open,2015-01-07,ATP250,Outdoor,Hard,2nd Round,3.0,Wawrinka S.,Coric B.,4.0,95.0,1.36,3.06,1
2,Chennai,Chennai Open,2015-01-07,ATP250,Outdoor,Hard,2nd Round,3.0,Haider-Maurer A.,Vesely J.,79.0,65.0,2.91,1.39,1
2,Chennai,Chennai Open,2015-01-07,ATP250,Outdoor,Hard,2nd Round,3.0,Ymer E.,Muller G.,227.0,46.0,4.0,1.23,0
2,Chennai,Chennai Open,2015-01-07,ATP250,Outdoor,Hard,2nd Round,3.0,Berankis R.,Goffin D.,83.0,22.0,3.77,1.25,0
1,Brisbane,Brisbane International,2015-01-07,ATP250,Outdoor,Hard,2nd Round,3.0,Klizan M.,Dolgopolov O.,34.0,23.0,2.62,1.46,1
3,Doha,Qatar Exxon Mobil Open,2015-01-08,ATP250,Outdoor,Hard,Quarterfinals,3.0,Dodig I.,Seppi A.,89.0,45.0,1.84,1.92,0
1,Brisbane,Brisbane International,2015-01-08,ATP250,Outdoor,Hard,2nd Round,3.0,Raonic M.,Kukushkin M.,8.0,69.0,1.23,4.0,1
1,Brisbane,Brisbane International,2015-01-08,ATP250,Outdoor,Hard,2nd Round,3.0,Kubot L.,Groth S.,177.0,85.0,2.12,1.69,0
1,Brisbane,Brisbane International,2015-01-08,ATP250,Outdoor,Hard,2nd Round,3.0,Nieminen J.,Duckworth J.,73.0,125.0,1.59,2.3,0
1,Brisbane,Brisbane International,2015-01-08,ATP250,Outdoor,Hard,2nd Round,3.0,Millman J.,Federer R.,153.0,2.0,9.22,1.05,0
3,Doha,Qatar Exxon Mobil Open,2015-01-08,ATP250,Outdoor,Hard,Quarterfinals,3.0,Karlovic I.,Djokovic N.,27.0,1.0,9.82,1.05,1
3,Doha,Qatar Exxon Mobil Open,2015-01-08,ATP250,Outdoor,Hard,Quarterfinals,3.0,Berdych T.,Gasquet R.,7.0,26.0,1.43,2.77,1
3,Doha,Qatar Exxon Mobil Open,2015-01-08,ATP250,Outdoor,Hard,Quarterfinals,3.0,Brown D.,Ferrer D.,98.0,10.0,6.27,1.11,0
2,Chennai,Chennai Open,2015-01-08,ATP250,Outdoor,Hard,2nd Round,3.0,Carreno-Busta P.,Lu Y.H.,49.0,38.0,2.6,1.47,0
2,Chennai,Chennai Open,2015-01-08,ATP250,Outdoor,Hard,2nd Round,3.0,Bautista R.,Gojowczyk P.,15.0,102.0,1.35,3.09,1
2,Chennai,Chennai Open,2015-01-08,ATP250,Outdoor,Hard,2nd Round,3.0,Lopez F.,Bedene A.,14.0,156.0,1.44,2.71,0
2,Chennai,Chennai Open,2015-01-08,ATP250,Outdoor,Hard,2nd Round,3.0,Garcia-Lopez G.,Ito T.,36.0,87.0,1.51,2.51,1
1,Brisbane,Brisbane International,2015-01-09,ATP250,Outdoor,Hard,Quarterfinals,3.0,Duckworth J.,Federer R.,125.0,2.0,9.84,1.05,0
1,Brisbane,Brisbane International,2015-01-09,ATP250,Outdoor,Hard,Quarterfinals,3.0,Nishikori K.,Tomic B.,5.0,53.0,1.34,3.15,1
1,Brisbane,Brisbane International,2015-01-09,ATP250,Outdoor,Hard,Quarterfinals,3.0,Klizan M.,Dimitrov G.,34.0,11.0,3.59,1.28,0
1,Brisbane,Brisbane International,2015-01-09,ATP250,Outdoor,Hard,Quarterfinals,3.0,Raonic M.,Groth S.,8.0,85.0,1.17,4.83,1
3,Doha,Qatar Exxon Mobil Open,2015-01-09,ATP250,Outdoor,Hard,Semifinals,3.0,Karlovic I.,Ferrer D.,27.0,10.0,2.93,1.39,0
3,Doha,Qatar Exxon Mobil Open,2015-01-09,ATP250,Outdoor,Hard,Semifinals,3.0,Berdych T.,Seppi A.,7.0,45.0,1.09,7.17,1
2,Chennai,Chennai Open,2015-01-09,ATP250,Outdoor,Hard,Quarterfinals,3.0,Bedene A.,Garcia-Lopez G.,156.0,36.0,1.85,1.91,1
2,Chennai,Chennai Open,2015-01-09,ATP250,Outdoor,Hard,Quarterfinals,3.0,Muller G.,Wawrinka S.,46.0,4.0,4.88,1.17,0
2,Chennai,Chennai Open,2015-01-09,ATP250,Outdoor,Hard,Quarterfinals,3.0,Haider-Maurer A.,Goffin D.,79.0,22.0,6.13,1.11,0
2,Chennai,Chennai Open,2015-01-09,ATP250,Outdoor,Hard,Quarterfinals,3.0,Lu Y.H.,Bautista R.,38.0,15.0,3.46,1.29,0
3,Doha,Qatar Exxon Mobil Open,2015-01-10,ATP250,Outdoor,Hard,The Final,3.0,Berdych T.,Ferrer D.,7.0,10.0,1.46,2.66,0
1,Brisbane,Brisbane International,2015-01-10,ATP250,Outdoor,Hard,Semifinals,3.0,Federer R.,Dimitrov G.,2.0,11.0,1.27,3.68,1
1,Brisbane,Brisbane International,2015-01-10,ATP250,Outdoor,Hard,Semifinals,3.0,Nishikori K.,Raonic M.,5.0,8.0,1.49,2.58,0
2,Chennai,Chennai Open,2015-01-10,ATP250,Outdoor,Hard,Semifinals,3.0,Goffin D.,Wawrinka S.,22.0,4.0,2.63,1.47,0
2,Chennai,Chennai Open,2015-01-10,ATP250,Outdoor,Hard,Semifinals,3.0,Bedene A.,Bautista R.,156.0,15.0,3.94,1.24,1
2,Chennai,Chennai Open,2015-01-11,ATP250,Outdoor,Hard,The Final,3.0,Wawrinka S.,Bedene A.,4.0,156.0,1.09,7.35,1
1,Brisbane,Brisbane International,2015-01-11,ATP250,Outdoor,Hard,The Final,3.0,Federer R.,Raonic M.,2.0,8.0,1.26,3.76,1
4,Auckland,Heineken Open,2015-01-12,ATP250,Outdoor,Hard,1st Round,3.0,Mannarino A.,Delbonis F.,44.0,59.0,1.27,3.62,1
4,Auckland,Heineken Open,2015-01-12,ATP250,Outdoor,Hard,1st Round,3.0,Thiem D.,Struff J.L.,39.0,58.0,1.61,2.26,0
4,Auckland,Heineken Open,2015-01-12,ATP250,Outdoor,Hard,1st Round,3.0,Johnson S.,Sousa J.,37.0,51.0,1.35,3.11,1
4,Auckland,Heineken Open,2015-01-12,ATP250,Outdoor,Hard,1st Round,3.0,De Schepper K.,Giraldo S.,100.0,32.0,2.51,1.51,1
4,Auckland,Heineken Open,2015-01-12,ATP250,Outdoor,Hard,1st Round,3.0,Falla A.,Statham J.,113.0,577.0,1.3,3.41,1
5,Sydney,Apia International,2015-01-12,ATP250,Outdoor,Hard,1st Round,3.0,Almagro N.,Cuevas P.,70.0,29.0,1.81,1.95,0
5,Sydney,Apia International,2015-01-12,ATP250,Outdoor,Hard,1st Round,3.0,Mayer L.,Becker B.,28.0,40.0,1.56,2.37,1
5,Sydney,Apia International,2015-01-12,ATP250,Outdoor,Hard,1st Round,3.0,Bolelli S.,Matosevic M.,52.0,77.0,2.41,1.54,1
5,Sydney,Apia International,2015-01-13,ATP250,Outdoor,Hard,1st Round,3.0,Kyrgios N.,Janowicz J.,50.0,43.0,1.53,2.43,0
5,Sydney,Apia International,2015-01-13,ATP250,Outdoor,Hard,1st Round,3.0,Groth S.,Muller G.,85.0,46.0,1.69,2.12,0
5,Sydney,Apia International,2015-01-13,ATP250,Outdoor,Hard,1st Round,3.0,Chardy J.,Querrey S.,31.0,35.0,1.81,1.95,1
5,Sydney,Apia International,2015-01-13,ATP250,Outdoor,Hard,1st Round,3.0,Nieminen J.,Andujar P.,73.0,41.0,1.44,2.71,0
5,Sydney,Apia International,2015-01-13,ATP250,Outdoor,Hard,1st Round,3.0,Kukushkin M.,Istomin D.,69.0,48.0,1.6,2.29,1
5,Sydney,Apia International,2015-01-13,ATP250,Outdoor,Hard,1st Round,3.0,Seppi A.,Pospisil V.,45.0,56.0,2.36,1.56,0
5,Sydney,Apia International,2015-01-13,ATP250,Outdoor,Hard,1st Round,3.0,Stakhovsky S.,Del Potro J.M.,57.0,135.0,1.92,1.84,0
5,Sydney,Apia International,2015-01-13,ATP250,Outdoor,Hard,1st Round,3.0,Tomic B.,Sijsling I.,53.0,81.0,1.25,3.84,1
5,Sydney,Apia International,2015-01-13,ATP250,Outdoor,Hard,1st Round,3.0,Klizan M.,Troicki V.,34.0,94.0,1.97,1.8,0
4,Auckland,Heineken Open,2015-01-13,ATP250,Outdoor,Hard,2nd Round,3.0,Johnson S.,Carreno-Busta P.,37.0,49.0,1.47,2.62,1
4,Auckland,Heineken Open,2015-01-13,ATP250,Outdoor,Hard,1st Round,3.0,Carreno-Busta P.,Coric B.,49.0,95.0,2.71,1.44,1
4,Auckland,Heineken Open,2015-01-13,ATP250,Outdoor,Hard,1st Round,3.0,Bellucci T.,Vesely J.,64.0,65.0,2.21,1.63,0
4,Auckland,Heineken Open,2015-01-13,ATP250,Outdoor,Hard,1st Round,3.0,Soeda G.,Young D.,92.0,54.0,2.55,1.49,0
4,Auckland,Heineken Open,2015-01-13,ATP250,Outdoor,Hard,1st Round,3.0,Garcia-Lopez G.,Schwartzman D.,36.0,60.0,1.27,3.62,0
4,Auckland,Heineken Open,2015-01-13,ATP250,Outdoor,Hard,1st Round,3.0,Ramos-Vinolas A.,Lorenzi P.,62.0,63.0,2.1,1.7,1
4,Auckland,Heineken Open,2015-01-13,ATP250,Outdoor,Hard,2nd Round,3.0,Anderson K.,Struff J.L.,16.0,58.0,1.43,2.74,1
4,Auckland,Heineken Open,2015-01-13,ATP250,Outdoor,Hard,2nd Round,3.0,De Schepper K.,Falla A.,100.0,113.0,1.69,2.11,0
4,Auckland,Heineken Open,2015-01-13,ATP250,Outdoor,Hard,1st Round,3.0,Venus M.,Gonzalez A.,405.0,109.0,3.12,1.35,1
4,Auckland,Heineken Open,2015-01-13,ATP250,Outdoor,Hard,1st Round,3.0,Lu Y.H.,Monaco J.,38.0,61.0,1.93,1.83,1
5,Sydney,Apia International,2015-01-14,ATP250,Outdoor,Hard,2nd Round,3.0,Troicki V.,Andujar P.,94.0,41.0,1.38,2.94,1
5,Sydney,Apia International,2015-01-14,ATP250,Outdoor,Hard,2nd Round,3.0,Fognini F.,Del Potro J.M.,19.0,135.0,3.09,1.35,0
5,Sydney,Apia International,2015-01-14,ATP250,Outdoor,Hard,2nd Round,3.0,Goffin D.,Bolelli S.,22.0,52.0,1.34,3.17,0
5,Sydney,Apia International,2015-01-14,ATP250,Outdoor,Hard,2nd Round,3.0,Cuevas P.,Kukushkin M.,29.0,69.0,2.34,1.57,0
5,Sydney,Apia International,2015-01-14,ATP250,Outdoor,Hard,2nd Round,3.0,Pospisil V.,Benneteau J.,56.0,25.0,1.5,2.54,0
5,Sydney,Apia International,2015-01-14,ATP250,Outdoor,Hard,2nd Round,3.0,Janowicz J.,Mayer L.,43.0,28.0,2.01,1.77,0
5,Sydney,Apia International,2015-01-14,ATP250,Outdoor,Hard,2nd Round,3.0,Kohlschreiber P.,Tomic B.,24.0,53.0,2.46,1.53,0
5,Sydney,Apia International,2015-01-14,ATP250,Outdoor,Hard,2nd Round,3.0,Muller G.,Chardy J.,46.0,31.0,2.75,1.43,1
4,Auckland,Heineken Open,2015-01-14,ATP250,Outdoor,Hard,2nd Round,3.0,Schwartzman D.,Young D.,60.0,54.0,3.18,1.34,0
4,Auckland,Heineken Open,2015-01-14,ATP250,Outdoor,Hard,Quarterfinals,3.0,Mannarino A.,Falla A.,44.0,113.0,1.3,3.44,1
4,Auckland,Heineken Open,2015-01-14,ATP250,Outdoor,Hard,2nd Round,3.0,Gulbis E.,Vesely J.,13.0,65.0,1.65,2.19,0
4,Auckland,Heineken Open,2015-01-14,ATP250,Outdoor,Hard,2nd Round,3.0,Ramos-Vinolas A.,Lu Y.H.,62.0,38.0,2.75,1.43,1
4,Auckland,Heineken Open,2015-01-14,ATP250,Outdoor,Hard,2nd Round,3.0,Venus M.,Pouille L.,405.0,133.0,3.24,1.34,0
4,Auckland,Heineken Open,2015-01-15,ATP250,Outdoor,Hard,Quarterfinals,3.0,Anderson K.,Johnson S.,16.0,37.0,1.59,2.3,1
4,Auckland,Heineken Open,2015-01-15,ATP250,Outdoor,Hard,Quarterfinals,3.0,Young D.,Vesely J.,54.0,65.0,2.13,1.69,0
4,Auckland,Heineken Open,2015-01-15,ATP250,Outdoor,Hard,Quarterfinals,3.0,Pouille L.,Ramos-Vinolas A.,133.0,62.0,2.11,1.71,1
5,Sydney,Apia International,2015-01-15,ATP250,Outdoor,Hard,Quarterfinals,3.0,Del Potro J.M.,Kukushkin M.,135.0,69.0,1.48,2.57,0
5,Sydney,Apia International,2015-01-15,ATP250,Outdoor,Hard,Quarterfinals,3.0,Mayer L.,Benneteau J.,28.0,25.0,2.05,1.74,1
5,Sydney,Apia International,2015-01-15,ATP250,Outdoor,Hard,Quarterfinals,3.0,Troicki V.,Bolelli S.,94.0,52.0,1.85,1.91,1
5,Sydney,Apia International,2015-01-15,ATP250,Outdoor,Hard,Quarterfinals,3.0,Tomic B.,Muller G.,53.0,46.0,1.32,3.31,0
4,Auckland,Heineken Open,2015-01-16,ATP250,Outdoor,Hard,Semifinals,3.0,Anderson K.,Vesely J.,16.0,65.0,1.59,2.32,0
4,Auckland,Heineken Open,2015-01-16,ATP250,Outdoor,Hard,Semifinals,3.0,Mannarino A.,Pouille L.,44.0,133.0,1.31,3.36,1
5,Sydney,Apia International,2015-01-16,ATP250,Outdoor,Hard,Semifinals,3.0,Mayer L.,Kukushkin M.,28.0,69.0,1.85,1.93,0
5,Sydney,Apia International,2015-01-16,ATP250,Outdoor,Hard,Semifinals,3.0,Troicki V.,Muller G.,94.0,46.0,1.79,1.99,1
5,Sydney,Apia International,2015-01-17,ATP250,Outdoor,Hard,The Final,3.0,Kukushkin M.,Troicki V.,69.0,94.0,1.89,1.89,0
4,Auckland,Heineken Open,2015-01-17,ATP250,Outdoor,Hard,The Final,3.0,Vesely J.,Mannarino A.,65.0,44.0,1.72,2.1,1
6,Melbourne,Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5.0,Saville L.,Smyczek T.,164.0,112.0,3.3,1.32,0
6,Melbourne,Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5.0,Delbonis F.,Kyrgios N.,62.0,53.0,4.89,1.17,0
6,Melbourne,Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5.0,Bemelmans R.,Karlovic I.,173.0,27.0,3.77,1.26,0
6,Melbourne,Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5.0,Kukushkin M.,Jaziri M.,51.0,75.0,1.44,2.71,0
6,Melbourne,Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5.0,Lu Y.H.,Federer R.,47.0,2.0,14.85,1.02,0
6,Melbourne,Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5.0,Gulbis E.,Kokkinakis T.,13.0,147.0,1.58,2.34,0
6,Melbourne,Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5.0,Troicki V.,Vesely J.,54.0,39.0,1.71,2.1,1
6,Melbourne,Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5.0,Monaco J.,Bolelli S.,63.0,48.0,2.35,1.57,0
6,Melbourne,Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5.0,Krajinovic F.,Groth S.,97.0,82.0,3.14,1.35,0
6,Melbourne,Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5.0,Melzer J.,Estrella Burgos V.,108.0,77.0,1.42,2.78,1
6,Melbourne,Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5.0,Struff J.L.,Sela D.,57.0,106.0,1.47,2.63,0
6,Melbourne,Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5.0,Mathieu P.H.,Kohlschreiber P.,93.0,24.0,4.32,1.21,0
6,Melbourne,Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5.0,Millman J.,Mayer L.,151.0,26.0,2.23,1.64,0
6,Melbourne,Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5.0,Kamke T.,Tomic B.,95.0,66.0,6.7,1.1,0
6,Melbourne,Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5.0,De Schepper K.,Rosol L.,94.0,30.0,2.2,1.65,0
6,Melbourne,Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5.0,Falla A.,Berdych T.,101.0,7.0,14.92,1.02,0
6,Melbourne,Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5.0,Nadal R.,Youzhny M.,3.0,49.0,1.14,5.41,1
6,Melbourne,Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5.0,Schwartzman D.,Anderson K.,59.0,15.0,6.33,1.11,0
6,Melbourne,Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5.0,Chardy J.,Coric B.,31.0,91.0,1.4,2.87,1
6,Melbourne,Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5.0,Gonzalez M.,Lacko L.,98.0,99.0,3.14,1.35,0
6,Melbourne,Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5.0,Kudryavtsev A.,Matosevic M.,127.0,81.0,3.18,1.34,0
6,Melbourne,Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5.0,Istomin D.,Seppi A.,50.0,46.0,2.26,1.62,0
6,Melbourne,Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5.0,Sousa J.,Thompson J.,55.0,274.0,1.63,2.24,1
6,Melbourne,Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5.0,Brown D.,Dimitrov G.,90.0,11.0,7.36,1.09,0
6,Melbourne,Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5.0,Gasquet R.,Berlocq C.,28.0,70.0,1.08,7.51,1
6,Melbourne,Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5.0,Murray A.,Bhambri Y.,6.0,317.0,1.02,16.81,1
6,Melbourne,Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5.0,Russell M.,Goffin D.,156.0,22.0,6.41,1.11,0
6,Melbourne,Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5.0,Kavcic B.,Duckworth J.,102.0,120.0,1.58,2.35,0
6,Melbourne,Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5.0,Sijsling I.,Berankis R.,84.0,85.0,2.49,1.52,0
6,Melbourne,Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5.0,Klizan M.,Ito T.,34.0,89.0,1.31,3.33,1
6,Melbourne,Australian Open,2015-01-19,Grand Slam,Outdoor,Hard,1st Round,5.0,Gabashvili T.,Baghdatis M.,67.0,78.0,2.48,1.52,0
6,Melbourne,Australian Open,2015-01-20,Grand Slam,Outdoor,Hard,1st Round,5.0,Ferrer D.,Bellucci T.,10.0,65.0,1.05,9.55,1
6,Melbourne,Australian Open,2015-01-20,Grand Slam,Outdoor,Hard,1st Round,5.0,Cuevas P.,Bachinger M.,29.0,142.0,1.78,2.02,0
6,Melbourne,Australian Open,2015-01-20,Grand Slam,Outdoor,Hard,1st Round,5.0,Ymer E.,Soeda G.,212.0,92.0,1.89,1.87,0
6,Melbourne,Australian Open,2015-01-20,Grand Slam,Outdoor,Hard,1st Round,5.0,Andujar P.,Copil M.,43.0,194.0,1.72,2.09,0
6,Melbourne,Australian Open,2015-01-20,Grand Slam,Outdoor,Hard,1st Round,5.0,Golubev A.,Nieminen J.,73.0,72.0,2.38,1.57,0
6,Melbourne,Australian Open,2015-01-20,Grand Slam,Outdoor,Hard,1st Round,5.0,Lajovic D.,Stakhovsky S.,68.0,71.0,2.49,1.52,0
